composition,Phase
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec
Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec
Hf1 Nb1 Si0.5 Ti1 V1,BCC+Sec
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,BCC+Sec
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,BCC+Sec
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,BCC+Sec
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,BCC+Sec
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,BCC+Sec
Ta1 Ti1 Zr1,BCC+Sec
Nb1 Ta0.667 Ti0.667 Zr0.333,BCC+Sec
Nb0.333 Ta0.667 Ti0.667 Zr1,BCC+Sec
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC
Al0.3 Cr1 Cu1 Fe1 Ni2,FCC
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1,FCC
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,FCC
Co1 Cr1 Cu2 Fe1 Mn1 Ni1,FCC
Co1 Cr1 Cu1 Fe1 Mn1 Ni1,FCC
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC
Co1 Cr1 Fe1 Ni1,FCC
Cr0.5 Cu1 Fe1 Mn0.5 Ni1,FCC
Cr1 Cu0.5 Fe1 Mn1 Ni1,FCC
Cr1 Cu0.7 Fe1 Ni1,FCC
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC
Al0.25 Co1 Fe1 Ni1,FCC
Co1 Fe1 Ni1,FCC
Co1 Fe1 Ni1 Si0.25,FCC
Co1 Cr1 Fe1 Ni1 Ti1,FCC
